Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDP12,OUT027,992.4051924
DRF60,OUT027,5857.596771
FDC09,OUT035,1589.836342
FDF50,OUT018,2759.845731
FDG28,OUT035,3924.715064
NCE19,OUT017,876.9875756
NCM53,OUT010,279.259753
NCN18,OUT049,1740.464701
FDF32,OUT035,3222.650579
FDF11,OUT013,3874.953611
DRI59,OUT049,3790.013706
NCG54,OUT035,2702.840778
FDM44,OUT046,1621.262423
FDT57,OUT018,3230.700903
FDV24,OUT046,2397.816356
FDI50,OUT019,531.2103078
FDS09,OUT035,815.0214313
NCC31,OUT027,4123.590019
FDQ07,OUT019,494.0311617
FDC22,OUT017,3096.346731
FDZ56,OUT046,2668.600192
FDZ40,OUT019,167.6547746
FDS46,OUT027,3103.560911
DRD24,OUT045,2204.664956
FDV45,OUT017,3048.581061
FDL26,OUT045,2463.764967
FDA56,OUT018,1658.301013
FDN27,OUT046,1886.762747
FDM20,OUT049,4046.300524
FDO16,OUT017,1282.938978
FDL03,OUT035,3161.407272
FDE58,OUT046,1868.379341
FDI02,OUT027,2929.553727
NCC55,OUT019,111.8464456
FDR03,OUT018,2858.6391
FDB14,OUT017,1432.60975
FDR45,OUT013,3895.612717
NCN07,OUT017,2028.260908
FDM51,OUT019,274.7694839
FDT52,OUT027,5944.679625
FDL26,OUT046,2444.604134
NCZ42,OUT046,3536.159961
DRI47,OUT019,315.0220071
FDW40,OUT013,2217.531878
FDN34,OUT046,2666.634375
FDS01,OUT035,2858.728354
NCG55,OUT045,1803.604483
FDC11,OUT035,1352.888157
FDX35,OUT018,3120.124102
NCB06,OUT046,2536.114443
FDR09,OUT019,684.5241854
FDC53,OUT017,1499.501161
FDY45,OUT013,4082.009383
FDA22,OUT010,346.4301545
FDE02,OUT035,1473.771706
FDW21,OUT045,1560.161816
FDV34,OUT046,1177.48486
FDS59,OUT049,1708.891543
NCW17,OUT017,1993.22987
NCK54,OUT046,1871.568223
FDG17,OUT019,607.1022588
FDG35,OUT017,2765.472644
FDD08,OUT010,83.39854807
NCO07,OUT017,3426.978643
FDJ10,OUT010,311.5521867
FDW36,OUT017,1610.678354
FDW21,OUT010,270.0466365
FDY19,OUT017,1833.010787
DRE03,OUT013,691.6338953
NCC55,OUT049,608.3733984
FDH52,OUT010,185.1062389
FDO09,OUT017,4165.771993
FDU43,OUT045,3864.182802
FDX09,OUT010,359.0641968
FDH40,OUT019,245.1062999
FDW58,OUT017,1616.960659
FDC47,OUT017,3685.768492
NCR41,OUT035,1460.343868
DRG49,OUT035,3935.729442
FDC52,OUT027,4059.501132
FDY13,OUT046,1192.861823
FDY35,OUT013,646.6938914
FDI35,OUT017,2918.553734
NCU18,OUT049,2296.553469
FDY33,OUT018,2179.247419
FDC15,OUT027,4203.804711
FDU01,OUT049,3143.717316
NCU42,OUT046,2671.528688
NCV29,OUT018,2461.010221
NCY30,OUT017,2938.534538
FDQ46,OUT049,1761.629018
FDG58,OUT027,4101.592327
FDK33,OUT017,3461.863546
NCD07,OUT045,1794.528337
NCX29,OUT027,3840.605524
NCT42,OUT013,2341.196235
DRN59,OUT035,739.480645
FDI44,OUT035,1225.539988
FDA45,OUT049,2991.114769
FDP31,OUT045,1026.630805
FDY01,OUT046,1839.56874
FDT09,OUT018,1800.879791
DRH03,OUT027,2445.057191
FDA36,OUT018,2591.78388
NCF31,OUT017,2422.452394
FDG14,OUT049,2482.223544
FDG28,OUT027,5950.008205
FDU14,OUT049,4101.836026
FDY47,OUT019,301.8428949
FDI56,OUT049,1389.350142
DRD01,OUT013,833.4655626
FDM22,OUT046,880.4789783
FDH33,OUT013,620.2699638
DRZ24,OUT013,1831.52293
NCQ38,OUT046,1682.092365
FDO16,OUT027,2153.219091
FDU07,OUT027,3975.400384
NCB07,OUT013,3150.597609
FDU48,OUT045,2062.960099
NCM43,OUT045,2625.917347
FDR31,OUT010,313.6777585
DRK49,OUT018,510.8278936
NCI30,OUT010,620.4052467
DRD60,OUT017,2907.981599
NCG19,OUT046,3502.660318
FDH12,OUT035,1625.854399
FDM32,OUT035,1418.305814
FDM27,OUT035,2468.905867
NCU53,OUT027,4425.808365
NCQ18,OUT046,1585.79406
FDS10,OUT013,2881.159096
FDB33,OUT027,4201.00837
FDI12,OUT013,1296.692684
NCW42,OUT013,3602.686837
NCC06,OUT018,1739.640038
FDW02,OUT017,1959.981629
NCD43,OUT017,1614.356118
FDM57,OUT018,1085.862346
FDA58,OUT017,3828.160539
FDK56,OUT046,2895.552329
FDP52,OUT045,3745.226323
FDW20,OUT018,1671.826809
FDS52,OUT049,1557.359711
NCT29,OUT018,1611.915622
NCL54,OUT013,2836.654036
FDC05,OUT045,3207.674949
FDF34,OUT035,3182.217386
FDP03,OUT027,3275.473661
FDD32,OUT010,238.4667392
FDZ10,OUT045,1986.707338
FDZ40,OUT035,857.2184007
FDD51,OUT018,546.0985536
NCY30,OUT019,368.3832124
FDP58,OUT017,3538.677686
FDV49,OUT017,4162.152595
FDY24,OUT019,162.5402785
NCO55,OUT017,1659.979548
FDR13,OUT017,1810.534435
FDS51,OUT017,972.1701594
FDP26,OUT045,1621.178519
NCB54,OUT027,3411.640496
FDF32,OUT017,3188.017633
FDN31,OUT018,2627.034889
DRM48,OUT017,602.2758342
FDN20,OUT049,2818.482113
DRL01,OUT046,3481.526621
FDV56,OUT049,1675.730279
DRH13,OUT027,2803.299053
FDA03,OUT017,2289.145624
FDF47,OUT027,5688.320699
FDX32,OUT046,2325.880588
FDX57,OUT049,1491.207002
NCA30,OUT045,3073.680061
FDO49,OUT013,724.9575202
FDL04,OUT019,278.1473954
DRM48,OUT035,618.8131657
FDR16,OUT013,3454.017481
NCC19,OUT018,2677.20987
NCE42,OUT045,3808.166191
FDY24,OUT017,868.7909878
FDH19,OUT049,2939.445519
FDJ46,OUT013,2780.265555
FDN45,OUT010,523.3715048
FDY08,OUT035,2194.038679
FDZ37,OUT035,1340.707078
NCT30,OUT045,760.2928111
DRY23,OUT018,521.3722306
NCZ30,OUT018,1638.984752
FDC44,OUT018,1518.202982
FDB45,OUT035,1619.606807
FDY04,OUT013,2601.042268
FDM27,OUT046,2513.724326
FDZ43,OUT017,3888.885137
FDT39,OUT019,320.5888636
NCC06,OUT019,298.2017077
FDL15,OUT027,4095.287407
FDL57,OUT017,4090.96493
FDU08,OUT046,1578.377272
FDK40,OUT017,4159.864197
FDQ12,OUT010,543.8653218
FDS48,OUT017,2384.095325
FDP09,OUT045,3442.533551
FDW21,OUT049,1534.071574
FDY25,OUT035,2906.822119
DRE13,OUT017,1323.927678
FDV43,OUT019,126.930305
FDD22,OUT045,1732.269869
FDM46,OUT019,261.7237174
NCO30,OUT010,382.1407806
FDM25,OUT046,2733.031425
NCN41,OUT049,1953.543543
FDU24,OUT045,1443.401501
FDZ50,OUT046,2875.547767
FDP45,OUT013,4035.806017
NCM54,OUT045,1964.846628
FDW10,OUT019,359.1894131
FDP20,OUT017,1993.272561
FDK32,OUT046,2395.741243
FDN52,OUT049,1344.941509
FDM58,OUT045,1721.135312
FDZ46,OUT027,2890.207652
NCA18,OUT018,1572.981199
FDD35,OUT046,1944.286698
NCK31,OUT035,790.1710186
FDI40,OUT027,2602.806795
FDT50,OUT019,269.0264144
NCT06,OUT046,2601.411365
FDT31,OUT035,3026.314655
FDT45,OUT049,812.7913743
FDT13,OUT045,3012.859872
FDO50,OUT045,1407.501536
NCU18,OUT010,310.1619283
NCR54,OUT049,3299.178217
NCO18,OUT018,2469.765912
FDU09,OUT045,888.5934914
FDT13,OUT018,2603.682988
FDE09,OUT046,1792.849708
NCK53,OUT019,273.3435588
FDG45,OUT049,3607.626468
DRH15,OUT035,727.2622354
FDO21,OUT019,514.815223
FDD14,OUT027,4893.665109
FDC09,OUT046,1642.473041
FDH45,OUT027,1142.71627
FDV32,OUT046,1041.290185
FDG12,OUT035,1850.152061
FDS32,OUT013,2200.378635
NCL55,OUT018,3376.908503
DRE01,OUT035,3919.888041
DRE15,OUT049,1172.379209
NCL42,OUT045,3965.127707
FDP31,OUT013,950.0524338
FDN33,OUT018,1235.023767
FDZ59,OUT046,2602.385087
FDE45,OUT010,366.1229242
FDJ07,OUT013,1831.037332
FDQ45,OUT018,2559.645631
FDM33,OUT027,5613.686697
FDO15,OUT010,220.4907307
FDM46,OUT013,1403.869534
FDR03,OUT045,3335.047798
FDY49,OUT018,2295.799397
FDQ60,OUT045,1845.311809
FDW10,OUT049,2951.868772
FDO51,OUT049,694.43395
FDJ40,OUT018,1452.628739
FDS20,OUT018,2527.364109
FDU45,OUT013,1731.541277
FDV02,OUT035,2701.085193
FDN09,OUT046,3566.234651
NCM55,OUT027,4952.491338
FDN23,OUT018,1974.314805
FDY31,OUT010,314.4286689
FDW03,OUT010,277.2311383
FDD14,OUT046,2870.854453
FDV23,OUT017,1957.270641
DRI03,OUT045,2811.758166
FDN13,OUT035,1536.769117
FDF45,OUT027,1531.656845
FDU46,OUT035,1353.450671
FDB57,OUT049,3748.382427
FDV12,OUT049,1544.334531
FDQ58,OUT013,2389.734746
NCA18,OUT017,1799.297797
FDH52,OUT049,932.327692
FDM24,OUT018,2055.301804
NCP43,OUT027,4819.288076
NCO18,OUT019,361.5506719
FDM32,OUT017,1410.615821
NCL07,OUT017,627.9816901
FDK03,OUT013,4057.718101
FDP59,OUT017,1582.501921
FDQ24,OUT049,4106.921234
FDQ16,OUT018,1464.114824
FDU44,OUT013,2556.023783
FDH28,OUT010,87.03024728
FDV28,OUT019,98.69150002
FDM22,OUT045,853.3778131
FDR56,OUT046,3044.23915
FDV39,OUT049,3329.812008
FDU37,OUT019,239.8368987
FDQ11,OUT010,681.6942008
FDX02,OUT045,3627.891347
NCS42,OUT018,1221.844865
FDY57,OUT027,2441.309353
FDB21,OUT049,4010.227141
FDE28,OUT017,3725.23823
FDQ55,OUT017,1756.640853
FDA48,OUT049,3751.868107
FDZ19,OUT045,2788.308259
NCC43,OUT045,4031.909893
NCV18,OUT046,1310.452043
NCA42,OUT018,2187.142211
FDY45,OUT046,3675.205861
NCC30,OUT045,2866.937352
FDM57,OUT013,1288.725621
FDL09,OUT010,343.3842865
FDB09,OUT027,3285.860699
FDT44,OUT035,1845.905396
NCT06,OUT027,4385.944949
FDX26,OUT049,3085.602296
FDK32,OUT013,2423.404572
DRA12,OUT046,2271.338901
FDO46,OUT010,389.8817401
FDE52,OUT013,1309.033315
NCH42,OUT045,3730.263636
FDV08,OUT035,685.06146
FDB47,OUT018,2923.357492
FDC28,OUT010,281.8792514
FDD22,OUT046,1817.03135
FDS07,OUT027,3015.105145
DRI13,OUT045,3522.489214
FDG32,OUT018,3079.174392
FDU14,OUT017,4006.059827
FDD28,OUT019,183.4852333
NCP41,OUT017,1697.405756
FDS08,OUT049,2931.256172
FDX47,OUT045,2493.728985
FDC53,OUT019,272.5086844
FDQ19,OUT035,3887.520391
FDL14,OUT045,2448.221353
FDM33,OUT019,502.796707
FDA51,OUT045,1756.136478
FDZ27,OUT018,611.1433577
FDT04,OUT046,670.444253
DRC13,OUT049,1988.069472
FDR16,OUT027,5537.396952
FDQ03,OUT027,5854.902626
FDE38,OUT035,2672.551816
DRH23,OUT027,1465.227993
FDT11,OUT019,388.3517279
FDD09,OUT035,2882.150202
FDR40,OUT045,1269.844652
FDX07,OUT017,2949.055939
FDR07,OUT035,1500.602776
FDA51,OUT017,1772.112128
FDT59,OUT019,541.9703115
FDF20,OUT017,3152.109468
FDR13,OUT045,1781.670233
FDY26,OUT049,3557.894983
FDW04,OUT017,2025.006613
FDK52,OUT017,3680.192609
FDN60,OUT049,2593.232869
FDM09,OUT019,350.4389255
FDP46,OUT049,1347.619476
FDB50,OUT019,237.1201831
NCQ29,OUT049,4183.337287
FDP16,OUT027,5948.826274
FDX33,OUT018,2218.135003
FDP07,OUT010,411.796754
FDN22,OUT046,3638.454669
FDF39,OUT049,4206.96865
FDS21,OUT017,953.1077603
NCM42,OUT013,1644.348947
FDK50,OUT019,337.773136
DRF13,OUT027,3911.524259
FDH35,OUT018,2259.413078
FDP60,OUT018,1319.759667
DRJ49,OUT027,3438.090536
NCT42,OUT019,317.9047127
FDE38,OUT049,2792.715845
FDI04,OUT049,3361.412954
NCH54,OUT045,2500.023321
FDT56,OUT049,897.0477728
DRD15,OUT018,3188.501423
FDV58,OUT013,3139.025566
FDP21,OUT049,3154.588375
FDH05,OUT013,3778.174956
FDR10,OUT027,4312.856452
NCP06,OUT045,2354.385048
FDF33,OUT049,1661.80109
DRK37,OUT013,3043.169846
DRH49,OUT045,1304.732817
FDT58,OUT013,2675.939404
FDD41,OUT018,1388.713198
FDP40,OUT018,1475.079123
FDM51,OUT027,2634.196629
FDO45,OUT010,245.1342348
FDW33,OUT010,277.2279667
FDY24,OUT045,857.2184007
FDB10,OUT010,584.3569576
FDM40,OUT035,2223.202303
NCI06,OUT017,2902.740938
FDW12,OUT019,312.9430017
FDX48,OUT027,4130.960234
NCW05,OUT027,2785.532196
FDX27,OUT017,1471.695393
DRM37,OUT045,3207.674949
FDA38,OUT045,3893.006429
FDR36,OUT046,651.6677573
FDZ45,OUT046,3080.394644
FDG05,OUT017,2509.925322
FDK28,OUT013,4121.071611
FDV47,OUT045,1327.537462
FDN21,OUT045,2545.722671
FDP20,OUT027,3353.9459
FDI35,OUT045,2918.553734
DRY23,OUT013,635.9563322
FDA56,OUT017,1908.968675
FDB09,OUT013,1911.468502
NCO26,OUT027,3074.425115
FDQ49,OUT018,2150.233016
FDI52,OUT027,3217.801299
FDZ44,OUT027,3078.150201
FDZ09,OUT018,2265.82294
FDY03,OUT049,1778.711589
NCG42,OUT017,2026.655033
DRI13,OUT027,5594.856075
FDQ32,OUT013,1952.524684
FDW16,OUT035,1407.501536
FDU27,OUT046,758.6635528
FDR28,OUT010,336.8905067
FDQ49,OUT010,330.0203349
FDS37,OUT046,1854.787145
FDW26,OUT018,3048.592643
FDX12,OUT018,3281.66212
NCP06,OUT013,2382.824688
FDW45,OUT010,314.5321373
NCN30,OUT049,1458.121923
FDN24,OUT049,812.7913743
NCL41,OUT027,913.8430533
FDR02,OUT019,282.7888336
FDD09,OUT010,372.1083063
FDS33,OUT010,245.470535
FDU22,OUT045,1858.267372
FDI53,OUT013,2588.798808
DRH01,OUT049,2945.066838
FDX32,OUT013,2248.492751
NCP30,OUT018,493.272308
FDB60,OUT045,3166.670377
FDB14,OUT049,1439.213985
NCP02,OUT035,914.2019975
FDJ10,OUT017,2200.766941
FDG34,OUT046,1766.019758
NCB18,OUT017,1359.527218
FDM16,OUT049,1128.941158
FDW25,OUT018,1101.799163
FDB35,OUT010,254.5069862
DRN11,OUT013,2253.076579
FDF41,OUT019,626.5445564
FDH16,OUT045,1364.600454
NCQ50,OUT018,2947.679818
DRH23,OUT018,726.8549577
DRJ37,OUT013,2403.10336
DRJ24,OUT027,4907.251877
FDY16,OUT035,2947.851393
FDQ27,OUT045,1628.544044
FDZ33,OUT045,2340.213574
FDF29,OUT045,2049.767293
FDA08,OUT049,2706.894963
FDG31,OUT046,1043.379529
FDE34,OUT019,377.2089552
NCR30,OUT027,1883.758843
FDV33,OUT035,4097.586213
DRZ24,OUT018,1617.745081
NCL54,OUT035,2773.067762
FDR12,OUT049,2890.671478
NCC54,OUT046,3563.053444
DRN59,OUT013,674.2986164
FDX50,OUT019,283.6341286
FDV31,OUT027,4751.767675
NCA29,OUT027,4609.269323
FDW60,OUT049,2964.966728
FDX08,OUT017,2930.329451
DRD49,OUT013,3831.986508
FDD33,OUT046,3462.200635
FDW35,OUT013,620.3080637
FDJ36,OUT017,1592.969812
FDV51,OUT035,2648.022203
FDW36,OUT046,1701.671009
FDH35,OUT046,2608.339838
NCS30,OUT027,3460.79916
FDN49,OUT017,632.1357306
FDL08,OUT018,3329.597671
FDI09,OUT013,3883.908434
FDP19,OUT018,1751.765433
FDU21,OUT010,61.12220115
NCP41,OUT045,1667.33588
FDY10,OUT013,1734.298134
FDP12,OUT018,447.5291267
NCN26,OUT049,1831.34346
FDK44,OUT013,2799.09245
FDC28,OUT049,1708.337838
FDJ41,OUT027,6055.103533
NCT29,OUT035,1921.981426
NCH42,OUT019,533.6968286
FDU60,OUT018,2306.044655
FDS02,OUT045,3119.022268
FDC51,OUT046,1963.546481
FDU03,OUT013,2942.711516
FDX39,OUT045,3437.018747
NCY05,OUT010,78.07303304
NCL06,OUT027,6043.338727
FDD32,OUT035,1240.565576
NCN41,OUT045,1909.482291
NCX53,OUT049,2297.786944
FDU57,OUT019,319.6024172
FDQ23,OUT046,1663.125074
FDQ52,OUT045,3990.793399
FDC14,OUT045,658.5022248
FDY09,OUT035,2831.182489
FDQ28,OUT045,2475.322185
FDV25,OUT046,3352.912282
FDJ07,OUT035,1803.562754
DRB25,OUT049,1655.442453
FDK52,OUT019,520.6583303
FDY52,OUT027,1614.606009
FDB28,OUT046,3067.668827
FDT36,OUT035,602.3115912
FDV25,OUT017,3605.898873
NCN07,OUT027,3445.562249
FDC57,OUT017,3120.813786
FDQ03,OUT018,3236.039668
FDU23,OUT017,2660.882356
NCX41,OUT035,3451.402445
NCD06,OUT035,750.8295816
FDW08,OUT045,1652.629274
NCU29,OUT017,2280.072988
NCE06,OUT013,2561.883291
FDV52,OUT010,289.5203376
FDB02,OUT017,2828.215476
NCR18,OUT045,697.2141156
FDK16,OUT049,1455.914423
NCQ29,OUT010,693.5442349
FDZ01,OUT019,276.2355333
FDW27,OUT035,2485.114179
FDD17,OUT018,3248.371656
FDW39,OUT013,2837.210824
DRH59,OUT045,1129.49463
FDS52,OUT013,1553.931595
FDU40,OUT027,5148.30571
NCF54,OUT013,2784.438258
FDH46,OUT045,1591.402943
NCP14,OUT049,1612.798145
FDH50,OUT049,3120.521081
DRF15,OUT010,323.9289817
FDV27,OUT027,2245.065083
NCJ06,OUT049,1904.826313
FDN02,OUT018,2854.134478
FDQ51,OUT049,713.0598864
FDQ07,OUT017,3615.381414
FDS45,OUT049,1639.278506
NCJ06,OUT045,1883.600486
FDD36,OUT035,1819.585966
FDY25,OUT045,2933.250156
FDU52,OUT046,2454.647915
DRK47,OUT017,3682.699756
NCL30,OUT017,2002.005809
FDN22,OUT035,4025.500628
NCF30,OUT027,3326.516362
FDK03,OUT035,4076.462894
FDT45,OUT017,871.1918742
NCC54,OUT027,5892.756718
FDP08,OUT018,2714.776628
FDU44,OUT046,2578.746655
DRG39,OUT035,838.0003029
FDU32,OUT049,1936.667986
FDY27,OUT049,2996.660728
NCP54,OUT013,1909.252336
NCZ41,OUT049,2019.033428
DRL49,OUT013,2257.161437
FDI05,OUT018,993.8344729
FDY56,OUT045,3674.036086
DRC13,OUT013,1941.282986
NCV29,OUT017,2879.876738
FDR24,OUT049,1365.708174
FDZ34,OUT018,2658.782433
FDP37,OUT035,1970.274462
FDX08,OUT027,4813.536961
FDS57,OUT045,2218.675623
NCG18,OUT049,1592.17812
FDK25,OUT018,2333.071563
FDH53,OUT049,1235.328661
DRI59,OUT018,3079.557228
FDA52,OUT046,2782.973595
FDT20,OUT010,85.5162221
FDE36,OUT019,336.3735241
FDI24,OUT017,2794.749002
FDB28,OUT018,2769.074871
FDV11,OUT017,2832.944423
FDP01,OUT046,2442.656859
FDD34,OUT027,4317.31682
FDJ50,OUT027,1346.519745
FDZ44,OUT013,1833.813844
DRO59,OUT035,1176.885744
DRB48,OUT045,645.0974925
FDR21,OUT018,2426.920541
NCE42,OUT010,570.8763255
FDO23,OUT046,1494.51146
NCE30,OUT018,2945.967924
FDQ22,OUT035,624.3046538
FDY01,OUT045,1790.226255
FDS08,OUT017,2849.360117
FDG28,OUT018,3336.194574
FDQ51,OUT018,604.9132587
FDB05,OUT017,3996.202843
FDO56,OUT049,1840.271145
FDE02,OUT018,1212.816384
FDN45,OUT017,3622.679226
FDS09,OUT013,720.4591869
NCA54,OUT018,2515.797405
FDP09,OUT010,473.3899863
FDC53,OUT045,1532.138028
NCM55,OUT017,3003.56109
FDL09,OUT018,2335.047771
FDA11,OUT019,262.5351031
FDA50,OUT045,1462.377572
FDC23,OUT017,2869.302453
FDE22,OUT049,2626.081531
FDD23,OUT046,2919.212982
NCA29,OUT049,2887.552172
FDK38,OUT046,2334.959979
DRC13,OUT046,1941.605339
NCP43,OUT049,3008.428395
FDX28,OUT049,1545.456321
FDF08,OUT049,1380.600871
FDZ33,OUT046,2372.038458
FDD10,OUT049,2998.524839
FDO58,OUT017,2579.319114
FDI50,OUT017,3729.275171
FDO58,OUT045,2636.96633
FDX08,OUT013,2914.609182
NCK17,OUT010,96.8706831
FDF39,OUT035,4139.688106
FDU45,OUT010,283.545997
NCJ18,OUT018,1579.674103
DRC27,OUT019,616.9468039
DRC25,OUT035,1318.874935
FDU59,OUT035,2548.012135
FDU28,OUT035,3056.751533
NCP30,OUT046,665.8834801
FDB39,OUT018,699.0842175
FDE41,OUT013,1305.893021
DRH11,OUT010,159.9286111
FDA58,OUT045,3816.744008
FDU50,OUT046,1841.684036
FDM34,OUT013,2020.658346
FDM44,OUT027,2643.406732
FDR39,OUT045,2954.94085
FDM25,OUT045,2811.201559
FDQ49,OUT049,2580.005395
DRH25,OUT018,661.0913069
FDM09,OUT027,4561.997966
FDL44,OUT019,334.2663288
NCR42,OUT018,397.1332842
DRL59,OUT046,847.0808904
FDX43,OUT013,2692.98263
DRK47,OUT010,532.6778564
FDU48,OUT018,1784.802703
FDY12,OUT045,800.6793323
NCN43,OUT018,1651.504083
NCM55,OUT018,2554.325945
FDQ21,OUT027,3239.61068
FDX13,OUT035,4015.046181
NCK30,OUT027,6009.156162
FDG20,OUT049,2938.114752
DRG27,OUT017,656.6683678
FDY14,OUT018,3479.065496
FDP59,OUT035,1590.331359
FDU60,OUT017,2695.864872
NCC18,OUT019,353.0226848
DRJ39,OUT017,3541.914271
FDS07,OUT049,1784.586711
FDM08,OUT027,5667.227144
FDP51,OUT045,1871.200977
FDU16,OUT035,1270.284291
FDH12,OUT013,1633.394803
DRE48,OUT010,413.2492117
